,title,answer_count,follower_count,detail_text
0,小米回应摄像头传出陌生男声，「技术上无可能，邀请第三方鉴定」，可能是什么原因？家装摄像头真的安全吗？,301,739,535w
1,台风贝碧嘉登陆上海浦东，最大风力 14 级，成为 1949 年以来登陆上海的最强台风，目前情况如何?,119,273,342w
2,特朗普疑似在佛州遭遇「暗杀未遂」事件，嫌疑人在案发时距离特朗普不到 500 米，现场具体情况如何？,76,215,315w
3,如何评价电视剧《凡人歌》的大结局？,22,40,136w
4,为什么中国年年重复防汛，而欧美国家几乎没有防汛的概念？,38,69,102w
5,卡牌类游戏为什么“过牌”很重要呢？,39,62,95w
6,如何评价董宇辉与辉同行河北中秋晚会?,29,43,95w
7,阿里云盘惊现「灾难级 Bug」，创建相册之后可随意观看他人照片，具体情况如何？此事影响有多大？,398,1417,78w
8,24-25 赛季英超第4轮热刺 0:1 阿森纳，如何评价这场比赛？,22,20,72w
9,高中生在功利氛围与学习压力大的情况下，如何合理应对？,36,184,60w
10,也门胡塞武装称发射的导弹击中以色列腹地，以色列如何回应胡塞武装的导弹袭击声明？,69,130,59w
11,宇航员连牺牲都不怕，为什么从月球上看地球会感到无比恐惧？,183,498,58w
12,弟弟想放弃上大学去打电竞咋办?,735,1001,55w
13,如何看待陈震试用华为 Mate XT 非凡大师遭遇锁机，表示「有种被监视的感觉，感受极差」？,314,544,55w
14,莫斯科大学数学系这么牛，为什么如今的数学专业世界排名连前20都进不去？,33,141,39w
15,女子在超市捞鱼被刺致八级伤残，向超市索赔 22 万元，被鱼刺伤后该如何处理伤口？超市有责任吗？,92,531,30w
16,为什么史铁生的家人避免刺激他，但余华、莫言等好友却不用顾忌?,119,542,28w
17,国内金饰最高涨至 762 元一克，金店门可罗雀，对行业有何影响？消费者如何平衡价格、品牌和设计等需求？,87,293,25w
18,大量求职者因有劳动仲裁诉讼记录遭拒录，如何看待企业这一规定？求职者如何维权？,324,682,20w
19,男子选 398 元烫发套餐结账2477元，烫完被告知标价系单支药水价，商家拒退款，此事该如何维权？,443,933,17w
